Artist,Track
40,179
9,23
46,168
11,153
14,32
31,79
21,48
2,174
12,34
28,73
0,151
2,68
33,85
16,135
22,129
15,33
46,166
31,80
26,63
3,10
9,23
39,106
41,156
0,0
44,162
47,171
22,112
30,78
34,86
35,89
21,49
37,98
10,143
14,95
10,143
28,72
40,176
44,162
2,174
6,14
4,11
21,60
21,51
26,67
46,168
27,71
6,16
39,104
49,182
4,12
16,136
26,66
9,23
22,125
0,2
21,60
22,55
46,168
2,175
21,49
41,156
0,150
30,76
16,137
10,25
15,42
22,128
48,172
2,175
20,44
20,45
1,4
35,90
21,50
21,51
0,1
23,57
29,75
6,14
30,77
11,153
1,4
31,79
2,70
11,154
45,164
28,72
4,11
36,93
26,65
6,16
2,7
47,170
16,134
21,48
40,180
46,168
37,101
20,44
22,55
10,145
11,28
22,127
40,146
42,157
22,130
44,162
45,163
26,63
16,35
1,4
45,163
11,152
34,86
30,77
11,152
24,58
1,5
45,163
21,50
0,151
37,100
26,66
37,97
7,19
13,31
6,15
42,158
0,1
22,54
46,165
10,143
15,33
28,72
16,138
22,118
26,61
33,85
37,99
10,25
0,2
14,95
16,139
23,56
26,61
20,44
20,44
28,72
17,36
30,78
22,116
45,163
10,140
40,176
44,162
10,26
6,148
6,14
39,106
22,117
14,96
1,4
44,161
3,9
23,57
21,22
22,130
26,66
0,1
0,151
30,76
39,106
30,78
10,140
21,48
21,47
45,164
3,10
15,33
46,165
40,176
16,135
39,106
14,95
22,130
0,2
1,4
20,45
14,96
35,92
44,161
21,48
5,13
48,172
38,102
40,181
16,136
22,118
49,182
4,11
37,98
43,159
22,107
27,71
0,1
0,3
27,71
49,183
16,137
39,104
21,22
33,85
46,166
10,142
16,136
45,164
2,69
22,54
26,67
23,56
21,48
28,72
41,155
21,48
2,174
12,30
35,91
35,90
7,18
21,50
37,97
20,44
4,11
7,19
23,56
6,15
2,8
15,33
14,94
22,119
37,101
1,4
14,95
2,175
21,47
9,23
26,63
26,61
20,45
33,85
37,100
26,64
20,46
22,132
11,153
10,24
1,4
26,62
31,80
11,154
33,85
46,166
45,163
27,71
1,6
2,7
22,115
40,147
2,70
37,100
11,154
14,32
40,147
10,144
10,141
20,44
44,162
45,164
0,1
0,1
11,152
11,28
21,50
2,70
16,136
12,30
40,181
2,69
22,55
10,27
4,11
16,136
10,142
10,141
10,25
16,137
9,23
8,20
46,168
15,33
34,87
39,104
2,174
22,54
46,165
26,65
39,106
34,87
2,174
37,99
21,22
9,23
26,61
16,134
0,1
22,55
39,105
31,79
10,141
43,159
3,9
20,44
30,77
20,45
35,88
9,21
31,80
1,5
37,101
1,5
5,13
10,143
40,178
0,150
21,51
15,33
18,37
39,106
35,90
22,54
37,98
32,81
31,79
10,143
46,165
47,171
23,57
2,8
10,140
42,157
4,12
16,135
2,69
3,9
9,22
21,49
10,25
16,138
9,23
40,146
46,169
37,100
46,169
46,169
32,84
36,93
11,29
14,96
26,65
0,150
5,13
49,182
2,174
27,71
21,22
37,100
4,12
33,85
21,60
37,99
0,150
2,70
22,55
10,145
2,174
2,69
24,58
46,168
22,124
0,3
2,7
35,90
32,81
40,147
26,67
40,181
14,96
14,94
20,46
21,48
10,145
4,11
22,133
46,169
10,145
5,13
10,143
40,181
4,11
14,96
34,86
30,76
21,48
37,97
2,175
34,87
21,49
10,27
40,178
4,11
12,34
21,49
46,167
26,62
40,146
37,97
35,89
11,29
1,4
22,52
1,4
17,36
31,79
0,1
41,155
1,4
10,143
2,68
49,183
43,160
22,133
21,48
8,20
6,14
35,89
39,103
11,28
46,168
11,152
46,165
10,140
26,66
37,99
11,28
9,22
32,82
45,163
22,54
10,25
12,30
37,98
14,95
40,177
32,83
35,92
21,50
40,181
25,59
10,143
47,171
40,147
44,162
11,28
6,16
2,69
44,161
9,22
0,150
42,158
10,24
26,66
39,104
26,63
9,21
37,99
22,52
22,119
21,51
44,162
21,60
10,24
29,74
20,45
0,151
21,51
7,18
26,66
22,119
37,97
20,45
39,106
41,156
11,28
46,165
7,19
43,159
16,35
31,80
4,12
21,50
24,58
4,11
30,78
0,1
0,150
40,177
12,30
41,155
46,167
46,166
22,109
16,137
32,81
26,66
4,12
23,57
22,107
26,62
11,154
21,51
32,81
34,86
20,44
39,103
35,92
14,95
29,74
32,83
0,1
10,141
27,71
11,28
35,89
37,101
0,2
4,11
40,179
20,44
0,1
23,56
48,172
14,96
10,144
22,131
39,105
47,170
21,60
6,148
7,17
0,150
17,36
43,159
22,53
32,82
0,151
42,157
42,157
43,160
32,81
20,45
35,91
16,138
11,153
11,28
32,83
30,78
11,28
46,165
26,63
16,137
21,60
26,67
26,61
34,86
21,60
46,169
40,146
37,97
40,181
39,104
15,33
22,120
26,63
12,34
34,87
37,97
35,90
1,6
6,148
11,28
20,44
7,18
40,146
40,147
6,149
15,41
10,144
37,97
12,30
10,26
10,145
31,79
27,71
27,71
30,76
41,156
33,85
10,24
7,19
46,165
4,12
21,50
45,163
44,162
1,6
45,164
23,57
39,104
16,134
46,169
48,172
9,22
6,15
14,32
30,78
20,44
22,113
38,102
16,139
7,19
10,27
13,31
26,64
11,154
44,161
10,143
15,43
2,175
40,147
22,132
3,10
26,63
46,169
46,166
5,13
40,176
20,46
46,165
10,140
46,168
46,167
9,21
46,165
21,49
15,41
39,104
26,62
16,35
40,177
12,34
14,32
46,167
30,76
49,183
10,140
46,166
46,167
2,7
0,1
22,54
22,121
26,64
42,158
0,1
42,158
14,96
17,36
12,34
6,16
34,86
49,182
10,145
45,163
0,150
17,36
1,6
22,53
6,16
37,101
21,47
26,63
0,2
49,182
14,95
32,81
11,28
47,171
46,169
11,28
13,31
3,9
14,32
46,165
27,71
21,48
35,90
21,22
46,165
28,73
22,133
26,66
10,24
6,16
31,79
16,35
30,77
1,4
22,118
4,11
16,135
37,101
0,1
30,78
10,145
48,172
22,113
26,65
21,51
35,91
22,55
22,110
22,54
1,6
46,169
29,75
6,149
44,161
31,79
36,93
16,138
40,146
27,71
16,135
47,170
44,162
16,35
46,167
35,91
24,58
1,4
9,23
21,22
9,22
33,85
39,103
21,48
10,144
9,21
32,82
39,106
9,22
49,182
21,60
40,146
1,6
4,11
7,18
14,32
1,4
28,73
37,101
37,97
6,16
4,11
47,171
11,28
7,17
35,92
45,164
10,140
10,143
43,160
40,176
34,87
35,91
21,48
10,27
36,93
22,55
11,28
2,8
10,142
40,180
46,169
14,96
40,147
3,9
47,171
45,164
6,149
6,15
16,139
35,88
46,168
29,75
37,100
11,29
3,10
37,97
28,72
10,24
15,33
21,47
40,147
46,165
21,22
1,6
43,159
17,36
16,137
46,168
37,98
45,164
42,158
26,64
44,161
37,100
13,31
35,88
10,26
7,17
12,30
22,123
5,13
39,105
1,5
21,48
2,7
3,10
2,174
10,27
6,15
40,180
46,166
1,5
42,158
32,81
16,35
1,4
21,50
10,141
12,34
16,138
12,30
45,164
35,91
41,155
22,128
35,92
37,99
49,183
40,181
14,95
2,68
22,54
40,177
14,95
10,26
9,23
44,161
2,173
49,182
6,148
21,22
35,91
0,151
38,102
40,181
11,153
35,91
0,0
26,62
10,27
20,44
29,75
46,168
32,84
31,80
12,34
5,13
14,32
16,135
35,88
33,85
2,175
11,29
14,94
37,99
37,100
3,10
22,52
22,54
4,11
10,26
24,58
10,142
28,73
28,72
22,124
4,11
48,172
42,157
42,158
0,1
13,31
22,110
11,154
23,56
40,176
2,68
32,82
4,12
40,176
2,8
22,127
21,48
32,84
22,52
24,58
21,48
21,48
0,3
2,69
10,145
20,44
4,11
22,52
0,1
46,166
16,139
32,83
3,9
11,152
9,21
10,25
26,62
41,156
34,87
22,52
23,56
26,61
15,41
39,106
12,30
37,101
12,34
21,60
0,3
34,87
4,12
20,46
8,20
5,13
22,54
11,153
46,169
29,74
6,14
4,12
7,18
24,58
11,153
28,72
20,46
46,169
27,71
21,50
11,154
46,166
22,53
28,73
40,180
0,0
0,3
40,181
1,5
2,68
17,36
10,26
1,5
10,140
21,50
34,86
11,153
31,79
21,60
40,179
34,87
22,55
20,45
47,171
10,143
10,143
11,28
40,180
14,94
0,151
26,63
21,49
11,28
48,172
35,91
7,18
15,33
22,123
21,49
8,20
4,11
23,56
6,149
35,89
16,35
48,172
10,143
2,69
3,9
22,55
39,103
6,149
37,97
29,75
4,12
35,88
22,122
26,63
16,136
20,45
41,155
1,5
30,76
17,36
1,5
40,176
49,182
6,14
12,30
10,25
22,52
10,26
14,32
17,36
46,167
12,30
35,91
10,142
33,85
0,151
49,183
4,12
47,170
18,39
15,33
37,99
16,138
10,142
10,27
1,4
31,80
41,156
40,178
1,4
22,53
2,7
45,164
37,97
33,85
21,48
2,173
22,118
16,35
46,168
1,4
29,75
38,102
25,59
36,93
37,100
40,180
47,170
22,126
45,164
20,46
2,8
7,17
16,35
1,4
30,77
21,47
21,48
47,171
10,27
16,136
31,79
14,32
11,28
47,170
43,160
22,54
40,177
20,45
30,77
44,162
21,60
14,96
0,2
12,34
40,147
40,181
26,61
12,30
37,100
1,6
14,94
11,28
4,12
4,11
20,46
47,171
22,127
14,94
1,6
0,1
16,134
10,140
2,8
16,35
14,95
20,45
28,72
0,0
16,135
21,22
1,4
16,135
15,33
0,2
46,165
34,86
6,15
0,1
21,48
31,79
46,166
4,11
25,59
7,19
9,23
22,52
7,17
26,67
22,55
48,172
22,117
27,71
15,33
30,77
13,31
22,113
35,88
0,1
22,54
35,90
37,97
48,172
34,87
22,53
1,4
44,161
40,178
4,11
46,165
10,145
41,155
22,54
21,51
37,99
6,16
39,103
26,64
47,170
4,11
21,48
8,20
1,4
10,145
40,146
22,115
39,103
32,82
40,146
11,153
21,47
49,182
22,54
21,60
10,143
46,166
40,177
37,98
2,7
6,16
21,22
23,57
2,7
35,88
47,170
6,16
40,181
8,20
22,109
25,59
38,102
21,48
37,100
10,140
26,67
26,67
36,93
12,30
40,146
22,127
27,71
26,65
12,34
21,47
22,110
40,147
35,90
22,53
14,95
16,134
9,23
1,5
24,58
11,153
0,1
48,172
5,13
35,89
41,155
22,121
22,122
32,82
43,159
27,71
17,36
49,183
2,69
37,100
40,176
21,48
26,61
4,11
11,153
26,65
16,136
46,167
7,18
6,149
45,164
10,26
37,100
16,135
37,99
2,175
14,32
37,97
47,171
4,12
47,171
31,79
22,54
1,4
26,61
6,16
0,2
2,173
35,92
0,1
1,5
22,52
21,60
48,172
21,48
15,33
23,56
26,63
12,34
2,175
7,19
46,166
11,152
22,53
22,114
22,131
3,10
40,178
46,167
46,167
17,36
22,126
3,10
22,115
22,125
34,86
1,6
24,58
27,71
33,85
26,63
40,146
26,63
23,57
40,146
20,46
0,151
22,120
25,59
26,64
22,112
41,155
21,60
40,180
22,116
1,6
22,123
0,2
26,66
16,136
1,6
2,7
1,6
22,111
37,98
26,63
37,97
33,85
21,50
43,159
10,27
40,180
40,176
34,86
37,99
26,64
35,91
32,83
36,93
26,67
44,161
27,71
22,109
35,91
21,49
26,67
22,54
5,13
49,183
22,107
42,157
1,5
2,175
10,141
16,134
23,57
33,85
10,143
40,146
26,66
16,134
6,14
26,63
33,85
12,34
22,53
45,163
43,160
2,68
21,49
35,88
11,28
31,80
49,182
41,155
39,106
27,71
35,89
26,62
11,29
3,10
32,82
33,85
22,122
0,2
9,22
1,5
19,40
11,154
21,47
22,126
6,148
10,141
10,24
33,85
4,12
2,7
9,22
22,55
39,106
35,90
30,76
16,137
10,142
7,18
22,133
14,96
40,176
46,167
2,8
46,168
15,33
26,64
37,99
23,57
15,33
26,64
10,140
32,82
4,11
39,106
22,117
1,6
9,23
39,104
10,141
30,76
23,56
21,22
3,9
37,99
21,50
14,32
10,144
22,123
39,106
6,148
40,180
35,92
25,59
37,99
4,11
23,57
4,12
21,48
31,79
2,70
10,24
11,154
35,88
26,67
23,57
22,128
20,46
49,183
45,164
2,70
14,94
8,20
26,67
18,38
20,45
16,134
42,158
32,82
22,52
0,1
22,52
47,170
16,139
27,71
0,0
12,30
9,22
34,86
14,94
22,55
21,50
0,150
9,23
22,55
22,52
34,86
4,12
22,128
20,46
39,105
2,175
10,144
4,12
12,34
20,45
43,160
9,23
7,17
25,59
2,68
33,85
21,51
33,85
30,78
4,11
17,36
7,18
6,14
0,0
9,23
35,90
40,146
30,77
37,98
9,22
10,145
40,180
4,12
47,171
10,144
46,168
11,29
20,44
1,4
2,8
46,165
10,25
34,87
11,29
36,93
1,6
1,5
10,25
10,25
41,155
40,181
5,13
16,136
36,93
4,11
26,65
16,134
22,128
6,15
5,13
15,33
22,52
15,33
4,11
33,85
45,163
3,10
12,30
38,102
33,85
22,54
3,9
16,136
2,70
46,165
4,11
39,105
46,169
31,79
6,16
34,86
38,102
22,53
10,144
10,25
22,125
22,52
