User ID,GENDER,AGE,WORKING,REGION,Hours Listening to Music
36927,Female,60,Other,South,1 hour
3566,Female,36,Full-time housewife / househusband,South,1 hour
20054,Female,52,Employed 30+ hours a week,Midlands,1 hour
41749,Female,40,Employed 8-29 hours per week,South,2 hours
23108,Female,16,Full-time student,North,3 hours
42754,Male,20,Temporarily unemployed,Midlands,5 hours
4596,Female,58,Retired from full-time employment (30+ hours per week),North,1 hour
40555,Female,50,Employed 30+ hours a week,Midlands,1 hour
8673,Female,45,,Centre,
5195,Male,41,Employed 30+ hours a week,South,7 hours
33301,Female,21,Full-time student,South,2 hours
30264,Male,56,Temporarily unemployed,North,2 hours
18020,Male,57,Temporarily unemployed,North,Less than an hour
24241,Female,31,Temporarily unemployed,North,1 hour
41557,Female,20,Full-time student,North,2 hours
2314,Female,32,Full-time housewife / househusband,Midlands,3 hours
20646,Male,,Temporarily unemployed,Midlands,5 hours
672,Male,35,,North,0
23151,Female,65,Retired from full-time employment (30+ hours per week),Midlands,2 hours
47285,Male,43,,Centre,0
1596,Female,41,,North,1
3975,Male,41,Employed 30+ hours a week,North,Less than an hour
27163,Male,45,Employed 30+ hours a week,Midlands,2 hours
33041,Female,28,,,
13487,Male,34,Employed 30+ hours a week,Midlands,Less than an hour
14286,Female,46,,South,0
11495,Female,52,Employed 30+ hours a week,North,1 hour
14632,Female,49,,North,
24444,Female,23,Employed 8-29 hours per week,North,2 hours
40602,Male,,Employed 30+ hours a week,Midlands,8 hours
8302,Male,50,,North,1
25613,Female,24,Employed 30+ hours a week,North,1 hour
20661,Female,21,Employed 30+ hours a week,Midlands,Less than an hour
20209,Female,47,Employed 30+ hours a week,North,1 hour
23372,Female,20,Full-time student,Midlands,1 hour
46258,Male,46,,South,0
8247,Male,52,,South,
17726,Female,18,Full-time student,South,5 hours
18379,Female,61,Retired from full-time employment (30+ hours per week),North,Less than an hour
33999,Female,57,Self-employed,North,Less than an hour
8084,Male,61,,South,
43228,Female,40,Employed 30+ hours a week,North,1 hour
38721,Female,60,Other,South,1 hour
4676,Male,22,Employed 8-29 hours per week,Midlands,2 hours
910,Female,56,,South,5
34259,Female,30,Employed 30+ hours a week,Midlands,16 hours
14096,Female,21,,Midlands,3
10576,Male,64,,North,
10852,Male,33,,North,1
31731,Male,60,Employed 30+ hours a week,South,1 hour
33566,Male,22,Full-time student,Midlands,3 hours
33302,Female,19,Full-time student,North,
28634,Female,60,Employed 30+ hours a week,North,1 hour
43402,Female,77,Retired from self-employment,North,Less than an hour
46768,Male,52,,Centre,2
21142,Female,47,Employed 8-29 hours per week,Midlands,2 hours
8553,Female,62,,South,1
34999,Male,32,Employed 30+ hours a week,North,2 hours
26980,Female,46,Employed 30+ hours a week,Midlands,2 hours
2422,Female,55,Full-time housewife / househusband,Midlands,1 hour
36339,Male,61,Self-employed,Midlands,2 hours
6534,Male,49,,Centre,2
44638,Male,42,Employed 30+ hours a week,Midlands,2 hours
46502,Female,54,,South,1
20328,Female,60,Retired from full-time employment (30+ hours per week),Midlands,Less than an hour
42023,Male,64,Retired from full-time employment (30+ hours per week),Midlands,16+ hours
37654,Female,44,Employed 30+ hours a week,South,2 hours
10639,Female,47,,North,1
5497,Female,59,Self-employed,North,1 hour
38548,Male,68,Retired from full-time employment (30+ hours per week),South,1 hour
38685,Male,48,Employed 30+ hours a week,Midlands,1 hour
34602,Female,42,Employed 30+ hours a week,South,Less than an hour
13946,Male,13,,South,
21046,Female,38,Other,North,2 hours
7384,Female,28,,Centre,8
43903,Male,43,Other,Midlands,
3794,Male,24,Employed 30+ hours a week,South,1 hour
40068,Female,44,Employed 8-29 hours per week,North,Less than an hour
33064,Male,31,,,1
31893,Female,17,Full-time student,North,3 hours
14833,Male,62,,North,
26971,Male,36,Employed 30+ hours a week,Midlands,0 Hours
33904,Female,54,Employed 30+ hours a week,South,2 hours
35351,Female,59,Self-employed,South,Less than an hour
28313,Female,26,Temporarily unemployed,South,3 hours
28085,Female,48,Employed 30+ hours a week,North,1 hour
13476,Female,56,Employed 30+ hours a week,South,1 hour
34636,Female,36,Employed 8-29 hours per week,South,2 hours
42796,Female,15,Full-time student,North,5 hours
27545,Female,27,Employed 8-29 hours per week,North,Less than an hour
7841,Male,45,,North,0
4203,Female,,Prefer not to state,North,
29687,Female,66,Retired from full-time employment (30+ hours per week),Midlands,0 Hours
30797,Male,40,Employed 30+ hours a week,North,3 hours
30956,Male,20,Employed 30+ hours a week,South,1 hour
49851,Female,46,Employed 30+ hours a week,North,Less than an hour
8757,Female,55,,Centre,8
26156,Female,54,Employed 30+ hours a week,South,Less than an hour
48002,Female,48,Employed 30+ hours a week,Midlands,2 hours
43417,Male,17,Full-time student,South,8 hours
12670,Male,56,Retired from full-time employment (30+ hours per week),North,1 hour
3449,Male,40,Employed 30+ hours a week,North,1 hour
37092,Female,45,Employed 30+ hours a week,North,Less than an hour
9528,Male,32,,South,
47101,Male,31,,Centre,3
38277,Male,26,Employed 30+ hours a week,Midlands,Less than an hour
30296,Female,43,Full-time housewife / househusband,North,1 hour
30949,Male,13,Full-time student,North,1 hour
8282,Male,46,,North,
31936,Female,53,Employed 30+ hours a week,North,0 Hours
10658,Male,47,,South,1
41163,Female,13,Employed 8-29 hours per week,Midlands,8 hours
5614,Male,66,,North,1
26129,Female,37,Employed 30+ hours a week,North,1 hour
10924,Female,36,,Centre,1
47663,Female,14,Full-time student,South,
1506,Female,37,,Centre,0
36884,Female,61,Retired from full-time employment (30+ hours per week),Midlands,Less than an hour
44268,Female,44,Employed 8-29 hours per week,North,2 hours
19714,Male,30,Employed 30+ hours a week,South,2 hours
23207,Female,23,Employed 8-29 hours per week,North,6 hours
43296,Male,37,Temporarily unemployed,North,4 hours
33964,Female,24,Full-time housewife / househusband,North,3 hours
25245,Male,36,Employed 30+ hours a week,Midlands,0 Hours
7687,Female,70,,Centre,
46516,Female,36,,South,
9898,Male,41,,South,0
15966,Female,46,,Midlands,
35991,Male,34,Employed 30+ hours a week,Midlands,2 hours
44523,Female,36,Employed 30+ hours a week,North,4 hours
